filepath,class_raw,label,label_idx
data/raw/data/train/Smut/smut_342.png,Smut,Smut,11
data/raw/data/train/Smut/smut_1115.png,Smut,Smut,11
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_466.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Septoria/septoria_1068.png,Septoria,Septoria,10
data/raw/data/train/Black Rust/black_rust_219.png,Black Rust,Black_Rust,1
data/raw/data/train/Mite/mite_319.png,Mite,Mite,9
data/raw/data/train/Aphid/aphid_465.png,Aphid,Aphid,0
data/raw/data/train/Healthy/healthy_390.png,Healthy,Healthy,6
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_112.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Leaf Blight/leaf_blight_62.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_259.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Yellow Rust/yellow_rust_1104.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_293.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Leaf Blight/leaf_blight_678.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_336.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Healthy/healthy_566.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_220.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Leaf Blight/leaf_blight_191.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_709.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Healthy/healthy_752.png,Healthy,Healthy,6
data/raw/data/train/Smut/smut_256.png,Smut,Smut,11
data/raw/data/train/Healthy/healthy_868.png,Healthy,Healthy,6
data/raw/data/train/Aphid/aphid_876.png,Aphid,Aphid,0
data/raw/data/train/Tan spot/tan_spot_341.png,Tan spot,Tan_spot,13
data/raw/data/train/Common Root Rot/common_root_rot_292.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Common Root Rot/common_root_rot_472.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Leaf Blight/leaf_blight_321.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_1207.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Aphid/aphid_129.png,Aphid,Aphid,0
data/raw/data/train/Yellow Rust/yellow_rust_1022.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Aphid/aphid_809.png,Aphid,Aphid,0
data/raw/data/train/Septoria/septoria_651.png,Septoria,Septoria,10
data/raw/data/train/Yellow Rust/yellow_rust_531.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Septoria/septoria_586.png,Septoria,Septoria,10
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_335.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Tan spot/tan_spot_369.png,Tan spot,Tan_spot,13
data/raw/data/train/Mildew/mildew_436.png,Mildew,Mildew,8
data/raw/data/train/Mite/mite_445.png,Mite,Mite,9
data/raw/data/train/Healthy/healthy_986.png,Healthy,Healthy,6
data/raw/data/train/Healthy/healthy_271.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_148.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_144.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_513.png,Fusarium Head Blight,Fusarium_Head_Blight,5
