epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.891,0.68927,2.95071,1.06662,0.37714,0.45388,0.4457,0.43154,0.27099,1.83815,0.98483,0.000175027,0.000175027,0.000175027
2,467.365,0.44431,1.67162,0.95427,0.54778,0.5119,0.514,0.48914,0.27062,1.48838,0.98118,0.000338799,0.000338799,0.000338799
3,673.659,0.41258,1.49811,0.93769,0.55263,0.58488,0.54341,0.52747,0.23822,1.31293,0.96659,0.000490998,0.000490998,0.000490998
4,881.112,0.39649,1.38209,0.93126,0.65555,0.58412,0.62714,0.61584,0.21779,1.18589,0.95502,0.000473926,0.000473926,0.000473926
5,1088.38,0.37115,1.29563,0.92166,0.55724,0.67334,0.67177,0.65984,0.23594,1.10406,0.95803,0.000456568,0.000456568,0.000456568
6,1292.05,0.3563,1.22982,0.91651,0.59942,0.64183,0.65368,0.64248,0.20114,1.14133,0.94825,0.00043921,0.00043921,0.00043921
7,1496.02,0.34626,1.18947,0.9128,0.59078,0.65275,0.66773,0.65692,0.19986,1.05624,0.94525,0.000421852,0.000421852,0.000421852
8,1699.42,0.33312,1.13041,0.90963,0.62472,0.6875,0.69443,0.68379,0.19387,0.95037,0.94318,0.000404494,0.000404494,0.000404494
9,1903.84,0.32245,1.08689,0.90757,0.57346,0.64217,0.65886,0.64052,0.23892,1.14407,0.96391,0.000387136,0.000387136,0.000387136
10,2111.87,0.31532,1.05816,0.90596,0.61442,0.67762,0.69994,0.6824,0.19227,0.95285,0.95159,0.000369778,0.000369778,0.000369778
11,2314.56,0.30883,1.03414,0.9051,0.61436,0.66615,0.68967,0.67427,0.19976,0.95905,0.95454,0.00035242,0.00035242,0.00035242
12,2518.42,0.30431,0.99766,0.90149,0.61951,0.6746,0.68054,0.65157,0.21516,0.9982,0.98207,0.000335062,0.000335062,0.000335062
13,2722.19,0.29738,0.97323,0.90233,0.66907,0.70817,0.73235,0.71082,0.18585,0.84059,0.96151,0.000317704,0.000317704,0.000317704
14,2931.02,0.28881,0.95079,0.8976,0.62511,0.71992,0.73395,0.72009,0.16552,0.84822,0.9436,0.000300346,0.000300346,0.000300346
15,3139.02,0.28645,0.9259,0.89819,0.66491,0.69202,0.73921,0.72378,0.16692,0.81739,0.95252,0.000282988,0.000282988,0.000282988
16,3350.01,0.28308,0.91707,0.89728,0.62349,0.72499,0.72914,0.71109,0.16781,0.8963,0.94967,0.00026563,0.00026563,0.00026563
17,3559.87,0.27698,0.8804,0.89632,0.72453,0.75784,0.81435,0.8095,0.14504,0.67697,0.93148,0.000248272,0.000248272,0.000248272
18,3770.39,0.27194,0.862,0.89438,0.66996,0.68735,0.72507,0.6962,0.16559,0.89118,0.9574,0.000230914,0.000230914,0.000230914
19,3986.07,0.26814,0.85215,0.89322,0.74181,0.65865,0.75939,0.74364,0.15274,0.799,0.94249,0.000213556,0.000213556,0.000213556
20,4199.08,0.26089,0.83077,0.89119,0.66055,0.71192,0.74656,0.734,0.14684,0.82631,0.93869,0.000196198,0.000196198,0.000196198
21,4408.16,0.17511,0.70141,0.86443,0.73358,0.80162,0.83532,0.83399,0.11149,0.63508,0.92349,0.00017884,0.00017884,0.00017884
22,4614.03,0.1554,0.61215,0.85428,0.75177,0.80979,0.84922,0.8485,0.09778,0.62579,0.92214,0.000161482,0.000161482,0.000161482
23,4823.87,0.1467,0.57293,0.85149,0.76684,0.80364,0.85118,0.85049,0.09024,0.63252,0.92078,0.000144124,0.000144124,0.000144124
24,5038.13,0.14213,0.54648,0.85415,0.77719,0.78071,0.86173,0.86075,0.08429,0.63063,0.92136,0.000126766,0.000126766,0.000126766
25,5250.51,0.13879,0.51164,0.85172,0.80613,0.80374,0.87478,0.87443,0.08797,0.527,0.92131,0.000109408,0.000109408,0.000109408
26,5460.7,0.13286,0.49471,0.85091,0.7788,0.81697,0.87486,0.87459,0.08358,0.54134,0.9213,9.205e-05,9.205e-05,9.205e-05
27,5671.84,0.13135,0.46792,0.85036,0.80787,0.79173,0.88033,0.87987,0.07397,0.53208,0.9202,7.4692e-05,7.4692e-05,7.4692e-05
28,5882,0.12873,0.44172,0.85069,0.80493,0.81493,0.87904,0.87849,0.07989,0.53579,0.9205,5.7334e-05,5.7334e-05,5.7334e-05
29,6092.84,0.12779,0.42754,0.84913,0.84687,0.78035,0.88243,0.8821,0.07718,0.52838,0.92017,3.9976e-05,3.9976e-05,3.9976e-05
30,6302.68,0.12226,0.40595,0.85193,0.82113,0.80373,0.88563,0.88537,0.07759,0.48868,0.92078,2.2618e-05,2.2618e-05,2.2618e-05
