epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.698,2.22363,3.56935,2.26085,0.00115,0.06587,0.00015,3e-05,4.32965,4.36356,4.43202,0.0003,0.0003,0.0003
2,41.574,2.1246,3.28537,2.1977,0.0013,0.06532,0.0019,0.00021,3.94978,4.32436,4.56595,0.000600373,0.000600373,0.000600373
3,52.6279,2.2097,2.96306,2.31488,0.00153,0.08399,0.00037,0.0001,4.16123,4.45747,4.88841,0.00088837,0.00088837,0.00088837
4,62.2146,2.12982,2.7647,2.25121,0.33689,0.01075,0.00035,6e-05,4.32399,5.92866,5.12395,0.00116399,0.00116399,0.00116399
5,73.4561,2.12019,2.75845,2.24804,0.34231,0.03051,0.00111,0.00019,4.03741,7.3577,4.60992,0.001151,0.001151,0.001151
6,84.8897,2.07416,2.77323,2.25231,0.34996,0.0045,0.00038,0.00022,3.97056,7.98422,4.19908,0.00112625,0.00112625,0.00112625
7,94.2411,2.05077,2.66047,2.20558,0.00251,0.0045,0.00034,5e-05,4.07669,6.55748,4.34343,0.0011015,0.0011015,0.0011015
8,105.473,2.05483,2.72734,2.21879,0.0005,0.02877,8e-05,1e-05,4.1436,7.14225,4.45613,0.00107675,0.00107675,0.00107675
9,116.702,1.99876,2.53802,2.15593,0.00638,0.1055,0.00378,0.00087,3.90681,5.00893,4.12587,0.001052,0.001052,0.001052
10,126.745,1.99425,2.54216,2.14194,0.00506,0.11385,0.00403,0.00063,4.00111,5.9229,4.31652,0.00102725,0.00102725,0.00102725
11,137.24,1.93363,2.53315,2.12977,0.34121,0.01075,0.00166,0.00018,4.02114,6.03607,4.1899,0.0010025,0.0010025,0.0010025
12,148.586,1.99311,2.50801,2.14188,0.00531,0.11266,0.00735,0.00136,3.9518,4.8354,4.18132,0.00097775,0.00097775,0.00097775
13,158.705,1.87463,2.42812,2.09023,0.00479,0.1334,0.00198,0.00028,3.98636,5.41939,4.1775,0.000953,0.000953,0.000953
14,168.784,1.92078,2.42339,2.11951,0.00349,0.11836,0.00598,0.00069,4.04272,5.17049,4.17842,0.00092825,0.00092825,0.00092825
15,180.739,1.90847,2.40253,2.09266,0.00425,0.15712,0.00401,0.00056,3.93209,4.754,4.08889,0.0009035,0.0009035,0.0009035
16,191.028,1.88822,2.34319,2.08801,0.00471,0.11596,0.00165,0.00049,3.9862,5.42661,4.15472,0.00087875,0.00087875,0.00087875
17,200.866,1.87863,2.39776,2.07827,0.0045,0.12054,0.00236,0.00042,3.88962,4.96247,3.93856,0.000854,0.000854,0.000854
18,212.542,1.90113,2.41633,2.08338,0.00635,0.18194,0.00205,0.00034,3.87304,4.93809,3.88633,0.00082925,0.00082925,0.00082925
19,223.049,1.89822,2.77389,2.06757,0.00366,0.11219,0.00119,0.00018,4.10624,5.6861,4.13278,0.0008045,0.0008045,0.0008045
20,232.812,1.86434,2.35657,2.05798,0.007,0.16491,0.00489,0.00079,3.7375,5.05214,3.86329,0.00077975,0.00077975,0.00077975
21,244.231,1.86904,2.40949,2.0576,0.00847,0.06652,0.00215,0.00043,3.9716,4.91523,4.22209,0.000755,0.000755,0.000755
